500
0 1.407,04 0,00 1.407,04 0,00 0
1 611,31 26.280,27 611,31 26.280,27 0
2 476,42 28.805,57 476,42 28.805,57 -9,81804158700455
3 557,52 29.538,45 557,52 29.538,45 -33,297938516335
4 589,24 31.536,60 589,24 31.536,60 62,5549600644758
5 568,63 28.286,87 568,63 28.286,87 196,735616407662
6 604,26 27.225,53 604,26 27.225,53 84,2565337839489
7 665,22 26.739,70 665,22 26.739,70 400,073444197139
8 749,63 25.195,15 749,63 25.195,15 452,305344256061
9 822,78 26.280,85 822,78 26.280,85 678,817440814175
10 901,86 25.556,12 901,86 25.556,12 360,790792797526
11 990,82 27.191,07 990,82 27.191,07 354,219484434295
12 1.066,64 26.897,17 1.066,64 26.897,17 448,982053033887
13 25,05 24.286,19 25,05 24.286,19 520,841099321778
14 1.198,12 33.945,41 1.198,12 33.945,41 -3,13639778995468
15 0,17 24.980,61 0,17 24.980,61 158,945992660591
16 0,83 25.504,98 0,83 25.504,98 154,902988776558
17 -0,81 26.125,75 -0,81 26.125,75 111,576782042865
18 1.290,84 26.935,26 1.290,84 26.935,26 126,541921307412
19 0,98 26.788,07 0,98 26.788,07 130,351904497879
20 -0,42 27.480,33 -0,42 27.480,33 123,477741287109
21 1.415,32 29.357,60 1.415,32 29.357,60 82,1790934494969
22 1,72 28.413,68 1,72 28.413,68 170,930099559169
23 -2,40 28.305,02 -2,40 28.305,02 86,4337387221595
24 0,65 28.159,69 0,65 28.159,69 102,145554819203
25 2,82 28.469,18 2,82 28.469,18 11,0641643693925
26 -9,64 30.717,60 -9,64 30.717,60 9,3366647094284
27 1.609,33 32.246,37 1.609,33 32.246,37 93,4938217582115
28 0,21 30.242,45 0,21 30.242,45 138,159213145756
29 1,59 28.925,41 1,59 28.925,41 178,868616877866
30 -0,01 29.740,36 -0,01 29.740,36 172,627592584956
31 -11,75 31.983,43 -11,75 31.983,43 108,110449481791
32 -8,48 32.902,21 -8,48 32.902,21 98,8312732339003
33 -15,53 32.136,43 -15,53 32.136,43 114,228594194727
34 0,63 31.526,92 0,63 31.526,92 114,292065046779
35 1,94 31.726,74 1,94 31.726,74 114,508753908884
36 1,38 31.837,44 1,38 31.837,44 122,000183774613
37 -2,32 32.037,04 -2,32 32.037,04 83,0537481970371
38 -1,94 32.370,66 -1,94 32.370,66 122,810722453893
39 -1,71 33.011,81 -1,71 33.011,81 122,810722453893
40 1.736,78 37.757,80 1.736,78 37.757,80 150,63196632195
41 -3,57 34.550,04 -3,57 34.550,04 63,1708672816569
42 -2,69 35.258,25 -2,69 35.258,25 120,058795441485
43 -3,42 35.303,42 -3,42 35.303,42 123,768963072541
44 2,44 35.432,94 2,44 35.432,94 79,3449438007865
45 1,77 35.353,01 1,77 35.353,01 82,3535809909023
46 1,52 35.722,90 1,52 35.722,90 120,946553347595
47 0,97 35.775,27 0,97 35.775,27 141,73509009907
48 2,02 36.004,81 2,02 36.004,81 149,583467487405
49 1.891,07 36.367,97 1.891,07 36.367,97 112,264465520366
50 1,00 35.034,46 1,00 35.034,46 143,366834805744
51 0,53 34.535,33 0,53 34.535,33 151,218160634093
52 0,35 34.849,45 0,35 34.849,45 82,6244614418343
53 2,97 35.053,10 2,97 35.053,10 107,628852150671
54 0,20 35.035,17 0,20 35.035,17 -3,23049417625724
55 0,29 34.798,39 0,29 34.798,39 -3,3236447494469
56 0,68 35.207,25 0,68 35.207,25 17,099405018406
57 0,11 34.954,67 0,11 34.954,67 17,2587548817071
58 0,19 35.262,51 0,19 35.262,51 -87,100687701061
59 0,40 35.151,62 0,40 35.151,62 -86,7135742117711
60 1,21 35.288,41 1,21 35.288,41 -86,8749482244122
61 -0,44 35.507,34 -0,44 35.507,34 -87,62049487471
62 -1,42 35.581,46 -1,42 35.581,46 -87,9712026507126
63 2,14 35.909,33 2,14 35.909,33 -88,5037071523437
64 -0,71 36.345,81 -0,71 36.345,81 -88,3861730285047
65 0,16 36.272,45 0,16 36.272,45 -88,1789499543084
66 -0,88 36.550,77 -0,88 36.550,77 -86,4639562952663
67 21,55 37.276,69 21,55 37.276,69 -86,4639562952663
68 2,37 36.806,76 2,37 36.806,76 -86,4639562952663
69 0,97 37.223,62 0,97 37.223,62 -87,7658659353884
70 -0,71 37.150,33 -0,71 37.150,33 -59,7014026043048
71 -0,89 37.314,37 -0,89 37.314,37 -59,8001517436719
72 0,38 37.336,26 0,38 37.336,26 -59,8001517436719
73 0,02 37.391,98 0,02 37.391,98 -59,8001517436719
74 -0,32 37.514,94 -0,32 37.514,94 -59,8001517436719
75 0,19 37.710,52 0,19 37.710,52 -61,5378493211714
76 -1,01 37.880,11 -1,01 37.880,11 -61,0090568448624
77 -1,95 37.963,24 -1,95 37.963,24 -60,6562094078741
78 21,00 38.356,79 21,00 38.356,79 -59,00637014731
79 -0,61 38.531,86 -0,61 38.531,86 136,52492400797
80 2.078,41 38.985,33 2.078,41 38.985,33 153,254877693785
81 2,21 36.399,45 2,21 36.399,45 338,393575839738
82 2,09 37.196,50 2,09 37.196,50 655,214342838739
83 2,29 37.244,99 2,29 37.244,99 593,509178611746
84 0,03 37.592,14 0,03 37.592,14 745,134011466097
85 0,14 36.876,47 0,14 36.876,47 745,1236966325
86 0,70 37.101,86 0,70 37.101,86 -21,5730964594484
