500
0 42.524,09 0,00 42.524,09 0,00 0
1 -122,00 -4.467,16 -122,00 -4.467,16 0
2 5.420,48 31.244,08 530,55 3.058,15 -11,5673127132262
3 6.003,64 47.900,86 1.280,09 10.213,39 -19,8336337256892
4 6.722,54 51.653,41 2.024,31 15.554,01 28,0047933092318
5 7.463,14 51.678,85 2.482,01 17.186,81 137,258698856239
6 8.184,64 43.173,70 3.292,31 17.366,79 131,338934063201
7 48,49 29.572,67 20,04 12.223,82 1093,98596683163
8 -34,34 26.463,52 -13,41 10.335,32 1088,37080279571
9 -7,10 19.562,87 -3,43 9.446,65 1082,46422718633
10 -8,91 12.241,34 -4,04 5.549,53 -62,7463292520922
11 -33,76 4.118,84 -15,87 1.935,64 -28,9617410479688
12 -34,40 2.970,87 -14,24 1.230,15 4,71115520197505
13 -0,06 369,36 -0,03 172,93 3,98821329746283
14 2,32 -1.441,71 1,41 -873,99 29,2097820030978
15 2,79 -3.246,48 0,86 -1.003,59 25,142777512596
16 3,08 -4.278,69 1,82 -2.522,13 -30,0540463261379
17 0,53 -6.907,96 0,29 -3.820,74 -6,65206570676699
18 0,22 -9.709,21 0,11 -4.815,01 -6,65206570676699
19 112,87 -7.637,24 49,42 -3.343,91 -39,3091457323369
20 34,17 -8.794,34 17,64 -4.538,58 -58,4098449963249
21 111,26 -9.208,32 52,81 -4.371,00 -31,5751990579396
22 217,89 -7.556,45 87,81 -3.045,34 -31,5751990579396
23 216,23 -5.903,76 107,83 -2.944,07 -39,869720273837
24 324,78 -1.772,33 172,24 -939,92 -68,8930877348034
25 270,74 624,05 154,90 357,03 -68,8930877348034
26 222,63 363,74 128,63 210,16 -71,1300256422789
27 58,05 -2.258,91 28,20 -1.097,45 -71,1300256422789
28 40,73 -4.210,13 16,69 -1.725,28 -24,8485225911288
29 11,06 -6.484,96 5,38 -3.155,76 38,6158244367481
30 -9,31 -11.440,26 -4,67 -5.736,53 38,6158244367481
31 1,47 -22.134,29 0,59 -8.806,96 38,1915845653913
32 20,48 -24.398,17 4,31 -5.138,34 51,624368154575
