500
0 12.855,50 0,00 12.855,50 0,00 0
1 2.270,81 -3.321,91 2.270,81 -3.321,91 0
2 2,07 -13.853,76 0,21 -1.414,64 -6,85878636921296
3 24,26 -14.093,34 1,42 -827,79 -6,85878636921296
4 68,47 -12.495,70 5,08 -926,22 75,7280901825028
5 44,83 -14.927,87 4,21 -1.401,34 -34,9758072106511
6 67,94 -13.840,67 6,27 -1.278,26 -34,9758072106511
7 94,25 -14.469,35 11,90 -1.826,25 -37,453459509285
8 48,51 -15.775,36 6,59 -2.144,69 -44,3859223376167
9 47,25 -13.609,51 6,83 -1.967,91 -50,4398995449951
10 316,72 -10.726,17 60,79 -2.058,67 -44,3939111493455
11 28,11 -13.597,96 8,19 -3.962,21 108,629975029973
12 1,28 -16.323,55 0,27 -3.493,02 117,068358274587
13 -31,99 -15.051,84 -5,04 -2.369,24 137,933409927654
14 1,30 -16.185,69 0,35 -4.406,31 131,571947474277
15 -56,95 -13.934,41 -6,67 -1.631,35 643,828747322285
16 0,96 -15.867,69 0,32 -5.387,91 -26,1348201410909
17 -17,45 -14.995,72 -4,13 -3.553,89 -31,2234839425945
18 -63,66 -13.532,22 -16,82 -3.575,58 -8,21776823410631
19 -41,26 -11.924,10 -12,82 -3.704,90 30,8368762793945
20 1,81 -12.553,63 0,73 -5.097,01 134,453053974708
21 5,97 -14.442,93 2,08 -5.043,12 150,278772871736
22 14,05 -12.881,85 3,26 -2.983,35 150,248561727081
23 0,89 -11.787,08 0,32 -4.224,95 371,738739526162
24 18,95 -14.100,93 8,01 -5.961,56 371,738739526162
25 80,46 -13.386,97 25,09 -4.174,77 371,738739526162
26 0,09 -13.690,72 0,03 -4.667,47 286,536558151794
27 3,95 -13.757,01 1,10 -3.815,14 286,536558151794
28 2,67 -13.554,06 0,67 -3.378,12 228,69706532428
29 2,60 -13.748,06 0,84 -4.433,68 233,676433054729
30 -0,14 -11.645,50 -0,05 -4.028,29 85,1751450435337
31 1,53 -12.572,60 0,66 -5.444,89 228,90940408156
32 1,01 -12.699,46 0,34 -4.246,53 406,220833045291
33 3,99 -12.305,08 1,29 -3.979,54 406,220833045291
34 0,53 -12.229,47 0,19 -4.370,44 406,106644824178
35 5,96 -12.261,02 2,24 -4.614,03 -68,0863696707192
36 0,41 -11.008,46 0,15 -4.096,52 -68,0863696707192
37 1,64 -11.998,47 0,70 -5.077,45 91,2494096618653
38 2,03 -11.956,65 0,75 -4.446,45 91,2494096618653
39 -0,09 -12.039,43 -0,03 -4.412,23 36,1978526820812
40 1,43 -12.095,96 0,50 -4.241,44 71,1394346268935
41 0,77 -11.814,45 0,21 -3.184,83 277,076435044115
42 1,13 -11.955,06 0,41 -4.364,08 277,076435044115
43 -0,30 -11.923,68 -0,10 -4.116,13 395,283019417724
44 0,55 -11.386,25 0,19 -3.943,22 -20,3992702445854
45 0,65 -11.424,69 0,24 -4.205,35 0,442528071676578
46 0,49 -11.864,83 0,18 -4.367,81 0,442528071676578
47 0,27 -11.543,60 0,09 -3.957,70 0,442528071676578
48 0,73 -11.833,72 0,26 -4.223,90 0,442528071676578
49 -2,07 -11.786,23 -0,71 -4.019,39 0,442528071676578
50 17,21 -11.158,07 5,82 -3.772,94 16,0737724189957
51 1,13 -11.648,87 0,49 -5.055,43 0,715142551362546
52 0,22 -11.462,11 0,09 -4.839,42 9,38650865048902
53 1,53 -11.469,76 0,65 -4.868,62 0,563003584882639
54 0,17 -11.421,59 0,07 -4.797,50 0,563003584882639
55 0,58 -11.529,85 0,25 -4.881,20 12,0088165498335
56 1,46 -11.284,51 0,62 -4.793,79 -79,6989127291234
57 0,28 -10.898,69 0,12 -4.663,71 -6,36879053418414
58 0,18 -10.756,70 0,08 -4.889,70 3,95241273127631
59 1,38 -11.144,12 0,62 -5.056,34 46,8680263157131
60 1,18 -10.952,08 0,52 -4.790,59 46,8680263157131
61 45,68 -10.810,00 20,28 -4.799,85 46,8680263157131
62 0,54 -11.394,38 0,24 -5.079,89 51,6560502344377
63 45,45 -10.282,85 18,89 -4.272,54 54,1476459504337
64 46,17 -9.579,70 21,32 -4.423,86 52,3804616531026
65 0,31 -9.574,97 0,15 -4.437,22 98,3645164739509
