500
0 10.335,85 0,00 10.335,85 0,00 0
1 4.388,90 13.157,17 4.388,90 13.157,17 0
2 5.153,46 9.320,03 751,73 1.359,51 -11,7878318831581
3 -141,15 -2.248,51 -22,48 -358,14 8,49232826728143
4 -146,72 -2.604,86 -22,17 -393,59 37,8900919465579
5 -15,29 -12.468,43 -2,63 -2.143,35 165,997421820543
6 -27,46 -18.157,41 -5,00 -3.305,75 1310,33727512871
7 -14,57 -16.283,62 -2,75 -3.077,80 896,885184034
8 -18,16 -15.880,12 -4,36 -3.809,03 780,393349930137
9 -0,16 -19.854,29 -0,05 -6.128,41 913,62562465285
10 -24,82 -18.014,18 -6,92 -5.020,28 446,827035800128
11 -21,68 -14.162,20 -7,38 -4.822,49 387,168806554585
12 -66,90 -13.404,22 -25,67 -5.144,10 860,719820282257
13 -59,88 -11.317,25 -25,91 -4.897,35 831,558354500748
14 -64,39 -10.973,08 -38,77 -6.606,78 830,751002171338
15 -64,83 -6.167,06 -20,58 -1.958,06 843,329422485977
16 -43,21 -520,66 -30,80 -371,14 996,136917994404
17 -72,41 -1.123,42 -54,88 -851,51 43,1192151826667
18 1,45 1.059,19 0,99 726,08 56,7670140588338
19 -5,41 -469,64 -3,63 -314,63 43,1216947332905
20 4,64 2.620,67 3,30 1.861,61 449,733476601487
21 -8,78 7.172,99 -6,39 5.218,65 313,378471076536
22 -17,18 3.931,97 -12,02 2.751,64 814,991509623846
23 22,10 6.753,15 17,28 5.281,68 678,882967227094
24 6,95 8.004,82 5,96 6.868,72 593,15840778362
25 9,72 12.383,88 8,54 10.871,41 464,714260715055
26 -25,38 17.232,38 -23,88 16.211,24 375,12492006646
27 -15,28 18.795,44 -13,14 16.154,49 107,022514878747
28 -13,62 20.927,18 -10,55 16.222,66 104,731080743936
29 1,03 21.592,46 1,02 21.449,76 110,416957887363
30 33,96 24.556,35 37,49 27.106,54 150,793583447635
31 0,42 25.786,88 0,45 27.747,19 178,846648621996
32 -6,18 27.516,66 -5,73 25.500,46 203,368512722385
33 1,62 29.417,51 1,49 27.038,34 118,877684246164
34 3,77 29.219,69 3,68 28.574,67 216,763431660905
35 -0,51 28.661,71 -0,51 28.722,14 239,367862412905
36 1,04 30.424,15 1,02 29.807,60 194,04562435761
37 2,01 30.804,83 2,01 30.805,86 135,196259441555
38 -3,19 32.392,02 -3,14 31.879,92 131,776579098155
39 0,43 32.136,79 0,43 31.723,05 -9,76159336028319
40 0,46 31.825,83 0,43 29.923,20 63,9882396002643
41 -2,93 31.970,64 -2,12 23.064,66 100,231795617134
42 -0,27 31.617,93 -0,26 29.797,64 107,686747401439
