500
0 52.227,94 0,00 52.227,94 0,00 0
1 33,14 -24.265,14 33,14 -24.265,14 0
2 67,27 -20.331,23 4,81 -1.453,27 -10,2842253806077
3 -3,76 -22.188,09 -0,37 -2.201,98 -20,5474629827271
4 -94,77 -25.420,10 -11,98 -3.213,66 -26,0967190909931
5 -0,13 -25.467,28 -0,02 -3.550,34 238,463548084138
6 -227,78 -20.003,58 -41,97 -3.686,15 275,655946862926
7 -229,73 -17.728,99 -58,66 -4.527,18 181,985498479882
8 -231,83 -20.489,32 -75,03 -6.630,97 782,879791409465
9 -231,94 -21.496,47 -90,42 -8.379,91 195,652993659414
10 -227,90 -20.593,54 -88,65 -8.011,04 325,163913142615
11 -27,04 -22.518,53 -12,35 -10.282,07 476,443838059341
12 -41,24 -20.989,45 -18,08 -9.203,31 435,590226676734
13 0,64 -21.077,69 0,33 -10.869,33 416,996611415512
14 0,41 -21.426,69 0,28 -14.854,68 484,707763913057
15 -0,29 -16.399,05 -0,10 -5.978,73 484,707763913057
16 311,19 -12.760,28 249,70 -10.239,09 431,193825314313
17 300,87 -11.032,64 245,09 -8.987,16 516,444967956952
18 144,72 -12.891,02 115,31 -10.271,43 521,556633574053
19 151,09 -12.405,03 108,80 -8.932,78 665,029397298908
20 158,08 -7.730,08 128,06 -6.261,88 1268,92263629796
21 156,47 -9.861,65 131,99 -8.318,91 421,9273797709
22 149,53 -8.010,46 105,71 -5.663,02 86,0006439984334
23 157,96 -7.741,85 140,94 -6.907,48 -24,3906539529349
24 112,75 -2.545,25 102,72 -2.318,94 -2,99637578225633
25 109,06 -1.620,14 108,68 -1.614,57 -3,28535069565134
26 -0,28 -4.211,44 -0,26 -4.044,86 18,7281956271634
27 0,05 -2.046,45 0,04 -1.582,99 24,9330978597274
28 17,60 -2.924,44 12,74 -2.116,76 36,7234019698866
29 1,00 -1.710,10 0,88 -1.519,70 51,2557908532694
30 -2,41 929,35 -2,39 922,85 117,728940900365
31 -13,37 3.462,88 -13,04 3.377,54 67,687368396312
32 -2,63 4.463,16 -2,30 3.904,15 58,9223916595681
33 0,67 4.865,33 0,58 4.210,05 69,8513601174964
34 -3,63 5.848,63 -3,31 5.338,93 79,1721281517148
35 5,11 6.214,11 4,90 5.960,23 100,324707581151
36 -0,10 6.526,67 -0,10 6.216,12 57,3106149162136
37 2,67 6.217,98 2,53 5.901,93 60,7470039433127
38 0,04 8.312,30 0,03 7.742,46 63,8122808125682
39 0,99 8.908,37 0,93 8.382,00 -4,08519787147236
40 -43,91 10.829,35 -40,14 9.899,39 20,3776436702098
41 0,22 13.384,82 0,16 9.757,33 3,7079987366272
42 -0,91 12.641,81 -0,90 12.482,71 -19,4968568099211
43 -0,45 12.709,67 -0,42 11.894,16 -18,8559200459673
44 0,17 14.047,52 0,16 13.098,98 -31,9559850504359
45 -1,14 15.209,47 -1,07 14.278,76 5,57803414586243
46 -7,28 15.893,36 -6,93 15.144,43 5,59876051539494
47 -11,35 17.840,10 -10,63 16.713,90 -17,9297169600897
48 -8,23 17.858,62 -7,88 17.099,37 -84,1082203666146
49 -4,77 17.792,12 -4,48 16.715,99 -86,3984854920727
50 -12,22 19.159,33 -11,28 17.671,38 -77,8735195699218
51 -0,09 20.145,45 -0,10 22.488,26 -78,5924374300171
52 -9,72 20.996,73 -11,19 24.166,32 -42,1929544466033
53 -5,80 22.526,12 -6,60 25.614,19 -44,6966164352595
54 -4,56 23.959,51 -5,19 27.296,79 -41,1478308016121
55 -9,17 24.459,50 -10,54 28.101,03 -72,8270352565469
56 -3,14 25.666,01 -3,68 30.062,13 -72,8270352565469
57 -5,26 25.373,31 -6,06 29.242,48 -73,7182312101195
58 -8,74 26.670,93 -10,17 31.010,89 -69,5537400225178
59 0,11 26.440,76 0,13 30.672,24 -78,1725452983455
60 1,07 27.724,28 1,25 32.188,84 -82,0994498018376
61 1,23 28.879,91 1,44 33.801,49 -47,8542791873102
62 7.031,44 29.611,49 8.223,37 34.631,07 -43,257480733164
63 4,73 22.829,15 5,54 26.745,41 -42,2226113260796
64 -17,60 23.227,42 -16,53 21.813,18 -43,2249020727344
