500
0 25.567,17 0,00 25.567,17 0,00 0
1 4.068,71 838,66 4.068,71 838,66 0
2 4.506,53 4.713,79 515,09 538,79 -10,7035541627949
3 4.974,87 10.169,23 728,18 1.488,49 -9,98740424220977
4 24,10 4.890,16 4,64 942,23 -12,7341460007798
5 64,65 11.942,21 11,78 2.175,89 -23,54768547342
6 24,03 10.285,63 6,65 2.845,05 -33,1678882373419
7 23,67 3.799,02 7,79 1.250,57 117,266563241938
8 22,45 6.236,38 7,81 2.169,16 104,816139399788
9 -2,81 7.432,75 -1,32 3.491,19 495,803130761066
10 -1,46 10.289,92 -0,71 5.013,64 647,932483160823
11 -0,37 13.471,11 -0,22 8.050,32 1008,68928635781
12 -24,46 13.774,91 -15,57 8.767,03 1003,02825164855
13 -25,14 14.232,09 -18,50 10.477,36 177,202216601295
14 75,49 16.884,47 75,96 16.989,90 411,378867298704
15 5.481,49 21.277,49 3.080,38 11.957,11 744,907965088942
16 6.045,94 25.647,81 7.291,39 30.931,19 495,250637845695
17 100,89 23.732,24 110,51 25.996,67 505,74042942148
18 91,53 25.847,34 81,97 23.145,44 205,071938258224
19 0,30 25.352,18 0,27 22.279,16 205,071938258224
20 0,31 28.124,11 0,30 27.409,31 258,539533670653
21 1,30 27.756,56 1,28 27.174,01 94,2999851231451
22 -7,18 30.790,48 -6,13 26.319,36 5,73192395897147
23 0,50 32.908,79 0,55 36.020,70 83,5009220334592
24 0,08 30.613,77 0,09 35.494,24 235,561665259299
25 20,03 30.212,48 22,59 34.083,35 260,790069472897
26 0,64 30.419,45 0,70 33.381,11 107,490044251778
27 0,47 32.097,54 0,44 30.221,66 113,256880126504
28 3,27 30.500,45 2,86 26.708,71 87,7885973814707
29 34,22 31.752,55 36,54 33.909,03 77,8448611119265
30 -0,71 32.818,44 -0,86 39.587,28 132,793281145573
31 0,45 33.686,24 0,52 38.852,85 4,05860679956166
32 0,27 34.375,71 0,27 34.449,15 12,6098814738396
33 0,45 35.495,73 0,45 35.382,09 37,6478481211106
34 0,16 35.889,55 0,17 38.311,24 -17,0576405185317
35 1,29 36.934,83 1,45 41.348,60 -10,9246801515451
36 0,40 36.893,60 0,45 41.587,43 33,7554912550038
37 -3,11 37.603,71 -3,48 42.046,02 21,8585272734738
38 -2,04 37.696,30 -2,28 42.052,44 8,15758363569305
39 6.539,59 39.050,49 7.154,92 42.724,89 -2,37343793224488
40 -1,64 33.574,65 -1,76 36.064,64 -8,60870352215759
41 0,52 33.487,54 0,36 23.116,90 -52,3647421725
42 0,82 33.554,74 0,74 30.124,08 -70,0741710445338
43 0,61 34.290,49 0,53 29.588,03 -72,7601272361625
44 -1,66 35.379,45 -1,45 30.862,66 -65,1786558997131
45 0,42 35.169,46 0,37 31.082,60 -74,2053108812323
46 0,16 34.558,90 0,14 30.564,52 -68,3087617067071
47 0,14 34.922,88 0,12 30.029,46 -65,8297814185821
48 0,67 34.650,02 0,58 29.988,16 -52,9276528963192
49 0,10 34.481,37 0,08 29.388,33 -12,3151450635728
50 -1,68 34.427,10 -1,41 28.820,23 2,12556580357983
51 0,05 34.186,27 0,05 33.966,55 15,1566167191899
52 0,11 33.731,12 0,11 34.365,21 9,96014720793753
53 0,52 33.361,63 0,51 33.153,18 61,5538665232263
54 0,44 32.564,64 0,44 31.859,98 60,6476492218142
55 1,38 32.266,65 1,34 31.218,73 96,8680927309239
56 0,09 32.056,51 0,08 31.364,28 50,3429749998721
57 0,55 31.553,53 0,53 30.078,31 34,9488392920339
58 0,06 31.044,53 0,05 29.801,26 32,9051068539828
59 0,08 30.690,31 0,08 28.683,26 32,9051068539828
60 0,03 30.801,41 0,03 28.805,01 -18,0077060033241
61 0,62 30.032,50 0,57 27.951,12 91,6317756922818
62 0,06 30.090,22 0,06 27.307,92 101,452985552149
63 0,34 36.291,44 0,31 32.853,86 -14,0620072177694
64 0,58 37.162,72 0,58 36.728,52 -12,4826714249646
65 0,43 37.333,32 0,42 36.583,23 -15,519718871591
66 12,51 37.583,24 12,35 37.103,46 -11,798227449488
67 0,05 37.582,97 0,05 36.656,46 -59,2909559479289
68 0,12 37.074,04 0,11 34.659,43 -43,6969740519147
69 -0,02 36.525,17 -0,02 34.736,40 -65,6055235417734
70 0,09 38.491,38 0,09 35.513,62 -79,4924388210883
71 10,50 39.377,76 10,02 37.594,25 -79,4924388210883
72 0,23 40.438,47 0,22 38.542,27 -78,5226290048149
73 -5,02 41.922,27 -4,85 40.450,29 -76,1871748665113
74 0,52 41.775,44 0,52 41.064,32 -78,295843698841
75 -0,30 42.169,32 -0,29 40.825,37 -53,5841233947955
76 1,71 43.707,81 1,65 42.041,18 -48,2189557366482
77 -0,10 43.431,14 -0,10 42.211,78 -34,8146526123065
78 0,14 43.225,92 0,13 41.506,97 -39,8402371818647
79 0,16 43.760,85 0,15 41.025,32 -79,9339406684089
80 4,71 43.010,55 4,40 40.216,49 -79,7536031010916
81 26,54 42.330,32 23,97 38.229,12 -79,7536031010916
82 0,86 43.027,31 0,96 48.391,91 -79,2902992370534
83 0,79 43.397,43 0,87 47.304,55 178,295275154658
84 5,32 44.220,42 5,82 48.357,02 360,174416914349
85 13,41 44.401,82 14,59 48.294,36 358,637059618007
86 -0,73 43.913,90 -0,83 49.764,15 684,545005749582
87 1,05 43.734,30 1,17 48.619,51 614,55520713612
88 0,07 43.596,64 0,08 48.997,74 235,926222307545
89 0,07 43.563,80 0,08 49.182,34 316,615076674379
90 -0,40 43.438,73 -0,45 48.283,56 316,615076674379
91 -0,43 42.856,11 -0,48 47.724,89 218,035728943692
92 6,86 42.719,26 7,35 45.806,79 36,9870603400705
93 0,05 42.417,84 0,05 45.002,88 127,571320588087
94 -0,64 41.992,50 -0,69 45.723,75 152,696165696305
95 4,60 41.685,11 5,02 45.430,52 155,599405941328
96 -0,47 41.841,57 -0,50 45.167,57 172,910442221135
97 5,22 42.389,07 5,58 45.249,36 159,343591287239
98 0,80 42.409,08 0,86 45.647,10 155,385154781391
99 9,09 42.844,08 9,27 43.729,31 155,385154781391
100 9,42 42.792,97 9,85 44.720,18 217,319273534754
101 0,01 42.250,43 0,01 43.178,94 -60,6000529421597
102 19,96 42.587,85 20,01 42.687,97 -52,2980683639011
103 0,05 41.365,70 0,05 41.092,41 -52,2980683639011
104 3,54 41.324,59 3,49 40.744,15 -79,2134962207943
105 2,33 41.169,40 2,36 41.792,19 -79,2134962207943
106 0,25 40.293,40 0,26 41.575,36 -79,2134962207943
107 -33,47 41.157,53 -33,51 41.203,73 -78,1740084888677
108 9,41 40.666,37 9,37 40.499,16 -75,9217562377715
109 1,47 40.250,92 1,45 39.674,00 -57,4432712970101
110 4,63 40.227,60 4,51 39.177,70 592,033346422959
111 2,31 40.164,01 2,23 38.797,52 47,2480443259162
112 0,10 40.131,53 0,10 38.686,43 3,2318063361223
113 48,10 39.924,38 45,99 38.176,11 -6,03064691074892
114 46,88 39.903,93 44,68 38.030,90 -6,03064691074892
115 33,82 39.863,05 32,27 38.031,76 -6,55453797222012
116 0,24 39.491,20 0,23 37.769,79 -4,95958206806361
117 0,08 39.443,20 0,08 37.609,63 12,5795210038102
118 1,28 39.363,71 1,21 37.455,24 11,9201651077082
119 0,19 39.296,68 0,18 37.375,56 11,9201651077082
120 0,45 39.150,71 0,42 36.950,09 14,9506224483901
121 1,50 39.165,26 1,42 37.096,23 -53,7923639984962
122 16,60 39.196,85 15,75 37.176,93 -53,7923639984962
123 1,72 39.025,50 1,64 37.310,28 -53,7923639984962
124 0,40 39.255,49 0,38 37.216,82 -53,7923639984962
125 6,10 39.241,12 5,83 37.505,43 -49,311628711465
126 9,25 39.222,43 8,97 38.013,77 -49,5291376524422
127 17,60 39.154,83 17,08 37.996,37 -22,7102543604157
128 26,83 39.404,65 25,83 37.946,15 -22,7102543604157
129 29,82 38.898,18 28,51 37.191,53 78,5768392254947
130 18,02 39.221,06 17,09 37.205,37 -16,1720078910921
131 0,19 38.391,25 0,18 36.678,53 -14,5358788389172
132 -12,67 38.934,88 -11,84 36.402,70 -14,5358788389172
133 55,18 38.120,66 52,36 36.171,00 -14,5358788389172
134 14,08 38.035,00 13,08 35.324,67 -8,43859748473288
135 11,06 38.008,47 10,27 35.283,73 -8,43859748473288
136 0,27 37.617,24 0,25 34.910,89 -20,8347399031471
137 8,72 37.447,54 7,87 33.784,30 -17,2973961643429
138 0,00 37.170,73 0,00 33.745,28 -11,7152583294313
139 -12,30 37.400,51 -11,12 33.825,14 -8,24177326177918
140 -7,87 37.585,68 -7,22 34.495,28 -10,7944437708918
141 7,15 37.339,69 6,45 33.729,53 -10,7944437708918
142 3,20 37.227,93 2,83 32.980,81 56,404342264647
143 0,45 37.132,63 0,40 32.683,17 -29,3106149346788
144 0,54 37.182,28 0,48 32.635,13 -25,9075711919627
145 0,52 37.301,34 0,45 32.421,14 -25,9075711919627
146 0,06 37.218,59 0,05 32.391,86 -25,9075711919627
147 0,18 37.147,38 0,16 32.165,51 -34,7455027467109
148 -8,71 37.474,86 -7,54 32.449,67 -31,4466534387718
149 0,98 37.620,78 0,85 32.880,70 -31,4466534387718
150 3,47 38.041,59 3,04 33.294,65 -31,4466534387718
151 -0,01 37.966,96 -0,01 33.450,82 -31,4466534387718
152 1,81 38.116,88 1,60 33.771,91 -34,6335552322542
153 0,07 38.074,72 0,06 34.288,05 -23,6147844172362
154 8,55 38.101,07 7,81 34.785,84 -23,6147844172362
155 5,89 38.493,54 5,42 35.467,60 -23,6147844172362
156 3,89 38.876,46 3,61 36.096,29 -23,6147844172362
157 7,99 39.110,50 7,47 36.528,43 -23,6147844172362
158 3,30 39.199,21 3,11 36.999,35 -23,6147844172362
159 5,54 39.511,74 5,22 37.261,96 -23,6147844172362
160 1,00 39.833,24 0,95 37.775,75 -23,6147844172362
161 29,13 39.651,50 27,80 37.843,61 -23,6147844172362
162 30,08 39.673,87 28,31 37.334,60 -29,977782876115
163 19,49 39.889,43 18,38 37.631,97 -26,784814385854
164 0,13 39.865,61 0,13 37.880,97 -18,316329613896
165 9,08 40.038,79 8,66 38.192,32 -19,2924766017062
166 0,35 40.108,55 0,34 38.370,37 -19,2924766017062
167 0,01 40.067,53 0,01 38.319,58 -18,2811025952136
168 0,07 39.975,78 0,07 38.347,72 -19,1842173705499
169 0,06 39.957,39 0,06 38.149,73 -19,1842173705499
170 11,80 39.948,02 11,23 38.005,84 -19,1842173705499
171 -0,03 39.960,88 -0,02 38.017,03 -19,1842173705499
172 0,04 40.288,51 0,04 38.326,01 -20,2505226628332
173 0,17 40.736,08 0,16 38.971,65 -21,2678775606289
174 3,87 41.165,89 3,72 39.620,14 -21,6681627554747
175 4,44 41.201,93 4,29 39.758,15 -28,1686585087028
176 0,77 40.964,00 0,74 39.204,63 -28,1686585087028
177 9,43 41.187,19 8,98 39.244,13 -30,8828763826445
178 7,66 41.462,04 7,32 39.592,41 -30,8828763826445
179 38,45 41.874,22 36,83 40.116,67 -30,8828763826445
180 1,10 42.442,67 1,06 40.805,13 -30,8828763826445
181 3,30 43.442,41 3,19 41.995,92 -30,3803320617753
