500
0 1,00 10.637,91 7.492,26
1 1,50 11.247,65 7.492,26
2 1,28 9.585,60 7.492,26
3 1,72 12.908,94 7.492,26
4 1,33 9.973,70 7.492,26
5 1,72 12.902,85 7.494,26
6 1,44 10.811,55 7.495,26
7 1,67 12.501,25 7.497,26
8 1,51 11.289,53 7.498,26
9 1,57 11.783,45 7.499,26
10 1,52 11.399,71 7.500,26
11 1,56 11.664,79 7.500,26
12 1,53 11.511,04 7.501,26
13 1,53 11.511,04 7.501,26
14 1,54 11.541,84 7.501,26
15 1,54 11.541,84 7.501,26
16 1,57 11.766,37 7.501,26
17 1,54 11.572,98 7.501,26
18 1,54 11.572,98 7.501,26
19 1,54 11.572,98 7.501,26
20 1,54 11.572,98 7.501,26
21 1,54 11.572,98 7.501,26
22 1,54 11.566,91 7.501,26
23 1,54 11.566,91 7.501,26
24 1,54 11.566,91 7.501,26
25 1,54 11.566,91 7.501,26
26 1,54 11.566,91 7.501,26
27 1,54 11.566,91 7.501,26
28 1,54 11.566,91 7.501,26
29 1,54 11.566,91 7.501,26
30 1,54 11.566,91 7.501,26
31 1,54 11.566,91 7.501,26
32 1,54 11.566,91 7.501,26
33 1,54 11.566,91 7.501,26
34 1,54 11.566,91 7.501,26
35 1,54 11.566,91 7.501,26
36 1,54 11.566,91 7.501,26
37 1,54 11.566,91 7.501,26
38 1,54 11.566,91 7.501,26
39 1,54 11.566,91 7.501,26
40 1,54 11.566,91 7.501,26
41 1,54 11.566,91 7.501,26
42 1,54 11.563,93 7.501,26
43 1,54 11.563,93 7.501,26
44 1,54 11.563,93 7.501,26
45 1,54 11.563,93 7.501,26
46 1,54 11.563,93 7.501,26
47 1,54 11.563,93 7.501,26
48 1,54 11.563,93 7.501,26
49 1,54 11.563,93 7.501,26
50 1,54 11.563,93 7.501,26
51 1,54 11.563,93 7.501,26
52 1,54 11.563,93 7.501,26
53 1,54 11.563,93 7.501,26
54 1,54 11.563,93 7.501,26
55 1,54 11.563,93 7.501,26
56 1,54 11.563,93 7.501,26
57 1,54 11.563,93 7.501,26
58 1,54 11.563,93 7.501,26
59 1,54 11.563,93 7.501,26
60 1,54 11.563,93 7.501,26
61 1,54 11.563,93 7.501,26
62 1,54 11.563,93 7.501,26
63 1,54 11.563,93 7.501,26
64 1,54 11.563,93 7.501,26
65 1,54 11.563,93 7.501,26
66 1,54 11.563,93 7.501,26
67 1,54 11.563,93 7.501,26
68 1,54 11.563,93 7.501,26
69 1,54 11.563,93 7.501,26
70 1,54 11.563,93 7.501,26
71 1,54 11.563,93 7.501,26
72 1,54 11.563,93 7.501,26
73 1,54 11.563,93 7.501,26
74 1,54 11.563,93 7.501,26
75 1,54 11.563,93 7.501,26
76 1,54 11.563,93 7.501,26
