1000
0 2.051,53 2.051,53 0,28 Country 9 (Country) 2,00 0
1 529,79 529,79 0,28 Country 9 (Country) 2,00 43
2 479,27 213,67 0,28 Country 9 (Country) 2,00 49
3 479,27 223,56 0,28 Country 9 (Country) 2,00 49
4 479,27 224,79 0,28 Country 9 (Country) 2,00 49
5 479,27 224,79 0,28 Country 9 (Country) 2,00 49
6 479,27 225,39 0,28 Country 9 (Country) 2,00 49
7 479,27 225,69 0,28 Country 9 (Country) 2,00 49
8 479,27 225,69 0,28 Country 9 (Country) 2,00 49
9 479,27 225,69 0,28 Country 9 (Country) 2,00 49
10 479,27 225,69 0,28 Country 9 (Country) 2,00 49
11 479,27 225,69 0,28 Country 9 (Country) 2,00 49
12 479,27 225,69 0,28 Country 9 (Country) 2,00 49
13 479,27 225,69 0,28 Country 9 (Country) 2,00 49
14 479,27 225,69 0,28 Country 9 (Country) 2,00 49
15 479,27 225,69 0,28 Country 9 (Country) 2,00 49
16 479,27 225,69 0,28 Country 9 (Country) 2,00 49
17 479,27 225,69 0,28 Country 9 (Country) 2,00 49
18 479,27 225,69 0,28 Country 9 (Country) 2,00 49
19 479,27 225,69 0,28 Country 9 (Country) 2,00 49
20 479,27 225,69 0,28 Country 9 (Country) 2,00 49
21 479,27 225,69 0,28 Country 9 (Country) 2,00 49
22 479,27 225,69 0,28 Country 9 (Country) 2,00 49
23 479,27 225,69 0,28 Country 9 (Country) 2,00 49
24 479,27 225,69 0,28 Country 9 (Country) 2,00 49
25 479,27 225,69 0,28 Country 9 (Country) 2,00 49
26 479,27 225,69 0,28 Country 9 (Country) 2,00 49
27 479,27 225,69 0,28 Country 9 (Country) 2,00 49
28 479,27 225,69 0,28 Country 9 (Country) 2,00 49
29 479,27 225,69 0,28 Country 9 (Country) 2,00 49
30 479,27 225,69 0,28 Country 9 (Country) 2,00 49
31 0,50 0,23 0,00 Country 9 (Country) 2,00 55
32 1,77 0,77 0,00 Country 9 (Country) 2,00 62
33 0,12 0,05 0,00 Country 9 (Country) 2,00 63
34 0,12 0,05 0,00 Country 9 (Country) 2,00 63
35 0,12 0,06 0,00 Country 9 (Country) 2,00 63
36 0,12 0,05 0,00 Country 9 (Country) 2,00 63
37 0,12 0,05 0,00 Country 9 (Country) 2,00 63
38 0,12 0,06 0,00 Country 9 (Country) 2,00 63
39 0,12 0,05 0,00 Country 9 (Country) 2,00 63
40 0,12 0,05 0,00 Country 9 (Country) 2,00 63
41 0,12 0,05 0,00 Country 9 (Country) 2,00 63
42 0,12 0,06 0,00 Country 9 (Country) 2,00 63
43 0,12 0,05 0,00 Country 9 (Country) 2,00 63
44 0,12 0,05 0,00 Country 9 (Country) 2,00 63
45 0,12 0,05 0,00 Country 9 (Country) 2,00 63
46 0,12 0,05 0,00 Country 9 (Country) 2,00 63
47 0,12 0,05 0,00 Country 9 (Country) 2,00 63
48 0,12 0,05 0,00 Country 9 (Country) 2,00 63
49 0,12 0,05 0,00 Country 9 (Country) 2,00 63
50 0,12 0,05 0,00 Country 9 (Country) 2,00 63
51 0,12 0,05 0,00 Country 9 (Country) 2,00 63
52 0,12 0,05 0,00 Country 9 (Country) 2,00 63
53 0,12 0,05 0,00 Country 9 (Country) 2,00 63
54 0,12 0,05 0,00 Country 9 (Country) 2,00 63
55 0,12 0,05 0,00 Country 9 (Country) 2,00 63
56 0,12 0,05 0,00 Country 9 (Country) 2,00 63
57 0,12 0,05 0,00 Country 9 (Country) 2,00 63
58 0,12 0,05 0,00 Country 9 (Country) 2,00 63
59 0,12 0,05 0,00 Country 9 (Country) 2,00 63
60 0,12 0,05 0,00 Country 9 (Country) 2,00 63
61 0,12 0,05 0,00 Country 9 (Country) 2,00 63
62 0,12 0,05 0,00 Country 9 (Country) 2,00 63
63 0,12 0,05 0,00 Country 9 (Country) 2,00 63
64 0,12 0,05 0,00 Country 9 (Country) 2,00 63
65 0,12 0,05 0,00 Country 9 (Country) 2,00 63
66 0,12 0,05 0,00 Country 9 (Country) 2,00 63
67 0,12 0,05 0,00 Country 9 (Country) 2,00 63
68 0,12 0,05 0,00 Country 9 (Country) 2,00 63
69 0,12 0,05 0,00 Country 9 (Country) 2,00 63
70 0,12 0,05 0,00 Country 9 (Country) 2,00 63
71 0,12 0,05 0,00 Country 9 (Country) 2,00 63
72 0,12 0,05 0,00 Country 9 (Country) 2,00 63
73 0,12 0,05 0,00 Country 9 (Country) 2,00 63
74 0,12 0,05 0,00 Country 9 (Country) 2,00 63
75 0,12 0,05 0,00 Country 9 (Country) 2,00 63
76 0,12 0,05 0,00 Country 9 (Country) 2,00 63
77 0,12 0,05 0,00 Country 9 (Country) 2,00 63
78 0,12 0,05 0,00 Country 9 (Country) 2,00 63
79 0,12 0,05 0,00 Country 9 (Country) 2,00 63
80 0,12 0,05 0,00 Country 9 (Country) 2,00 63
81 0,12 0,05 0,00 Country 9 (Country) 2,00 63
82 0,12 0,05 0,00 Country 9 (Country) 2,00 63
83 0,12 0,05 0,00 Country 9 (Country) 2,00 63
84 0,12 0,05 0,00 Country 9 (Country) 2,00 63
85 0,12 0,05 0,00 Country 9 (Country) 2,00 63
86 0,12 0,05 0,00 Country 9 (Country) 2,00 63
87 0,12 0,05 0,00 Country 9 (Country) 2,00 63
88 0,12 0,05 0,00 Country 9 (Country) 2,00 63
89 0,12 0,05 0,00 Country 9 (Country) 2,00 63
90 0,12 0,05 0,00 Country 9 (Country) 2,00 63
91 1,47 0,70 0,00 Country 9 (Country) 2,00 64
92 0,27 0,13 0,00 Country 9 (Country) 2,00 65
93 0,27 0,13 0,00 Country 9 (Country) 2,00 65
94 0,27 0,13 0,00 Country 9 (Country) 2,00 65
95 0,27 0,13 0,00 Country 9 (Country) 2,00 65
96 0,27 0,13 0,00 Country 9 (Country) 2,00 65
97 0,27 0,13 0,00 Country 9 (Country) 2,00 65
98 0,27 0,13 0,00 Country 9 (Country) 2,00 65
99 0,27 0,13 0,00 Country 9 (Country) 2,00 65
100 0,27 0,13 0,00 Country 9 (Country) 2,00 65
101 0,27 0,13 0,00 Country 9 (Country) 2,00 65
102 0,27 0,13 0,00 Country 9 (Country) 2,00 65
103 0,27 0,13 0,00 Country 9 (Country) 2,00 65
