1000
0 36,21 36,21 0,44 Country 2 (Country) 0,00 0
1 93,31 93,31 0,44 Country 2 (Country) 0,00 2
2 108,38 60,28 0,44 Country 2 (Country) 0,00 2
3 111,73 66,33 0,44 Country 2 (Country) 0,00 2
4 112,83 67,68 0,44 Country 2 (Country) 0,00 2
5 112,83 67,66 0,44 Country 2 (Country) 0,00 2
6 112,83 67,64 0,44 Country 2 (Country) 0,00 2
7 112,83 67,55 0,44 Country 2 (Country) 0,00 2
8 112,83 67,55 0,44 Country 2 (Country) 0,00 2
9 112,83 67,55 0,44 Country 2 (Country) 0,00 2
10 112,83 67,55 0,44 Country 2 (Country) 0,00 2
11 112,83 67,55 0,44 Country 2 (Country) 0,00 2
12 112,83 67,55 0,44 Country 2 (Country) 0,00 2
13 112,83 67,55 0,44 Country 2 (Country) 0,00 2
14 112,83 67,55 0,44 Country 2 (Country) 0,00 2
15 112,83 67,55 0,44 Country 2 (Country) 0,00 2
16 112,83 67,55 0,44 Country 2 (Country) 0,00 2
17 112,83 67,55 0,44 Country 2 (Country) 0,00 2
18 112,83 67,55 0,44 Country 2 (Country) 0,00 2
19 112,83 67,55 0,44 Country 2 (Country) 0,00 2
20 112,83 67,55 0,44 Country 2 (Country) 0,00 2
21 112,83 67,55 0,44 Country 2 (Country) 0,00 2
22 112,83 67,55 0,44 Country 2 (Country) 0,00 2
23 112,83 67,55 0,44 Country 2 (Country) 0,00 2
24 112,83 67,55 0,44 Country 2 (Country) 0,00 2
25 112,83 67,55 0,44 Country 2 (Country) 0,00 2
26 112,83 67,55 0,44 Country 2 (Country) 0,00 2
27 112,83 67,55 0,44 Country 2 (Country) 0,00 2
28 112,83 67,55 0,44 Country 2 (Country) 0,00 2
29 112,83 67,55 0,44 Country 2 (Country) 0,00 2
30 112,83 67,55 0,44 Country 2 (Country) 0,00 2
31 237,31 142,08 0,44 Country 2 (Country) 0,00 7
32 206,24 120,62 0,44 Country 2 (Country) 0,00 14
33 222,86 128,05 0,44 Country 2 (Country) 0,00 19
34 196,12 118,97 0,44 Country 2 (Country) 0,00 24
35 132,53 81,30 0,44 Country 2 (Country) 0,00 30
36 52,47 31,02 0,44 Country 2 (Country) 0,00 36
