1000
0 273,58 273,58 273,58 1,00 95,00 0
1 273,58 3,07 3,07 1,00 99,00 1235
2 273,58 3,07 2,15 1,00 109,00 1774
3 273,58 3,07 2,41 1,00 119,00 1865
4 273,58 3,07 2,39 1,00 129,00 1875
5 273,58 1,97 1,53 1,00 139,00 1879
6 273,58 1,97 1,53 1,00 149,00 1881
7 273,58 1,97 1,53 1,00 159,00 1881
8 273,58 1,97 1,53 1,00 169,00 1881
9 273,58 1,97 1,53 1,00 179,00 1881
10 273,58 1,97 1,53 1,00 189,00 1881
11 273,58 1,97 1,53 1,00 199,00 1881
12 273,58 1,97 1,53 1,00 209,00 1881
13 273,58 1,97 1,53 1,00 219,00 1881
14 273,58 1,97 1,53 1,00 229,00 1881
15 273,58 1,14 0,89 1,00 239,00 1881
16 273,58 1,14 0,89 1,00 249,00 1881
17 273,58 1,14 0,89 1,00 259,00 1881
18 273,58 1,02 0,79 1,00 269,00 1881
19 273,58 1,02 0,79 1,00 279,00 1881
20 273,58 1,02 0,79 1,00 289,00 1881
21 273,58 1,02 0,79 1,00 299,00 1881
22 273,58 1,02 0,79 1,00 309,00 1881
23 273,58 1,02 0,79 1,00 319,00 1881
24 273,58 1,02 0,79 1,00 329,00 1881
25 273,58 1,02 0,79 1,00 339,00 1881
26 273,58 1,02 0,79 1,00 349,00 1881
27 273,58 1,02 0,79 1,00 359,00 1881
28 273,58 1,02 0,79 1,00 369,00 1881
29 273,58 1,02 0,79 1,00 379,00 1881
30 273,58 1,02 0,79 99,00 389,00 1881
31 273,58 69,81 54,37 99,00 398,00 2704
32 273,58 68,22 42,46 99,00 407,00 3431
33 273,58 68,22 47,87 99,00 417,00 3821
34 273,58 68,22 48,90 99,00 427,00 4072
35 273,58 68,22 54,33 99,00 437,00 4286
36 273,58 68,22 53,56 99,00 447,00 4405
37 273,58 68,22 53,45 99,00 457,00 4558
38 273,58 68,22 55,32 99,00 467,00 4625
39 273,58 68,22 54,76 99,00 477,00 4666
40 273,58 68,22 54,09 99,00 487,00 4711
41 273,58 68,22 55,15 99,00 497,00 4762
42 273,58 53,42 43,85 99,00 507,00 4795
43 273,58 53,42 42,65 99,00 517,00 4831
44 273,58 53,42 43,94 99,00 527,00 4863
45 273,58 53,42 44,05 99,00 537,00 4893
46 273,58 53,42 43,84 99,00 547,00 4918
47 273,58 53,42 43,84 99,00 557,00 4938
48 273,58 53,42 43,84 99,00 567,00 4953
49 273,58 53,42 43,84 99,00 577,00 4969
50 273,58 53,42 43,84 99,00 587,00 4978
51 273,58 53,42 43,84 99,00 597,00 4991
52 273,58 53,42 43,84 99,00 607,00 5006
53 273,58 53,42 43,83 99,00 617,00 5016
54 273,58 53,42 43,83 99,00 627,00 5027
55 273,58 53,42 43,83 99,00 637,00 5033
56 273,58 53,42 43,83 99,00 647,00 5043
57 273,58 53,42 43,83 99,00 657,00 5047
58 273,58 53,42 43,83 99,00 667,00 5055
59 273,58 53,42 43,83 99,00 677,00 5061
60 273,58 53,42 43,83 1,00 687,00 5068
61 273,58 53,42 43,83 1,00 697,00 5076
62 273,58 53,42 43,83 1,00 707,00 5097
63 273,58 53,42 43,83 1,00 717,00 5110
64 273,58 53,42 43,83 1,00 727,00 5114
65 273,58 53,42 43,83 1,00 737,00 5115
66 273,58 53,42 43,82 1,00 747,00 5118
67 273,58 53,42 43,83 1,00 757,00 5123
68 273,58 0,36 0,29 1,00 767,00 5124
69 273,58 0,36 0,29 1,00 777,00 5125
70 273,58 0,36 0,29 1,00 787,00 5125
71 273,58 0,36 0,29 1,00 797,00 5125
72 273,58 0,36 0,29 1,00 807,00 5125
73 273,58 0,36 0,29 1,00 817,00 5125
74 273,58 0,36 0,29 1,00 827,00 5126
75 273,58 0,36 0,29 1,00 837,00 5126
76 273,58 0,36 0,29 1,00 847,00 5126
