500
0 430,34 430,34 430,34 1,00 92,00
1 430,34 0,00 0,00 1,00 91,00
2 430,34 430,34 460,37 99,00 92,00
3 430,34 0,00 0,00 1,00 94,00
4 430,34 430,34 386,14 99,00 95,00
5 430,34 0,00 0,00 1,00 97,00
6 430,34 430,34 409,94 99,00 98,00
7 430,34 0,00 0,00 1,00 100,00
8 430,34 0,00 0,00 99,00 101,00
9 430,34 430,34 365,41 197,00 102,00
10 430,34 0,00 0,00 97,00 104,00
11 430,34 430,34 370,09 195,00 105,00
12 430,34 0,00 0,00 95,00 107,00
13 430,34 430,34 388,69 193,00 108,00
14 430,34 0,00 0,00 93,00 110,00
15 430,34 430,34 390,30 191,00 111,00
16 430,34 0,00 0,00 91,00 113,00
17 430,34 430,34 389,09 189,00 114,00
18 430,34 0,00 0,00 89,00 116,00
19 430,34 430,34 387,29 187,00 117,00
20 430,34 0,00 0,00 87,00 119,00
21 430,34 430,34 386,21 185,00 120,00
22 430,34 0,00 0,00 85,00 122,00
23 430,34 430,34 385,53 183,00 123,00
24 430,34 0,00 0,00 83,00 125,00
25 430,34 430,34 384,83 181,00 126,00
26 430,34 0,00 0,00 81,00 128,00
27 430,34 430,34 384,00 179,00 129,00
28 430,34 0,00 0,00 79,00 131,00
29 430,34 430,34 383,31 177,00 132,00
30 430,34 0,00 0,00 77,00 134,00
31 430,34 430,34 382,44 175,00 135,00
32 430,34 0,00 0,00 75,00 137,00
33 430,34 430,34 381,80 173,00 138,00
34 430,34 0,00 0,00 73,00 140,00
35 430,34 430,34 381,01 171,00 141,00
36 430,34 0,00 0,00 71,00 143,00
37 430,34 430,34 380,31 169,00 144,00
38 430,34 0,00 0,00 69,00 146,00
39 430,34 430,34 379,50 167,00 147,00
40 430,34 0,00 0,00 67,00 149,00
41 430,34 430,34 378,70 165,00 150,00
42 430,34 0,00 0,00 65,00 152,00
43 430,34 430,34 377,93 163,00 153,00
44 430,34 0,00 0,00 63,00 155,00
45 430,34 430,34 377,12 161,00 156,00
46 430,34 0,00 0,00 61,00 158,00
47 430,34 430,34 376,26 159,00 159,00
48 430,34 0,00 0,00 59,00 161,00
49 430,34 0,00 0,00 157,00 159,00
50 430,34 430,34 375,04 255,00 160,00
51 430,34 0,00 0,00 155,00 162,00
52 430,34 430,34 374,23 253,00 163,00
53 430,34 0,00 0,00 153,00 165,00
54 430,34 430,34 373,42 251,00 166,00
55 430,34 0,00 0,00 151,00 168,00
56 430,34 430,34 372,59 249,00 169,00
57 430,34 0,00 0,00 149,00 171,00
58 430,34 430,34 371,80 247,00 172,00
59 430,34 0,00 0,00 147,00 174,00
60 430,34 430,34 371,04 245,00 175,00
61 430,34 0,00 0,00 145,00 177,00
62 430,34 430,34 370,22 243,00 178,00
63 430,34 0,00 0,00 143,00 180,00
64 430,34 430,34 369,37 241,00 181,00
65 430,34 0,00 0,00 141,00 183,00
66 430,34 430,34 368,55 239,00 184,00
67 430,34 0,00 0,00 139,00 186,00
68 430,34 430,34 367,79 237,00 187,00
69 430,34 0,00 0,00 137,00 189,00
70 430,34 430,34 366,99 235,00 190,00
71 430,34 0,00 0,00 135,00 192,00
72 430,34 430,34 366,19 233,00 193,00
73 430,34 0,00 0,00 133,00 195,00
74 430,34 430,34 365,38 231,00 196,00
75 430,34 0,00 0,00 131,00 198,00
76 430,34 430,34 364,60 229,00 199,00
77 430,34 0,00 0,00 129,00 201,00
78 430,34 430,34 363,83 227,00 202,00
79 430,34 0,00 0,00 127,00 204,00
80 430,34 430,34 363,10 225,00 205,00
81 430,34 0,00 0,00 125,00 207,00
82 430,34 430,34 362,39 223,00 208,00
83 430,34 0,00 0,00 123,00 210,00
84 430,34 430,34 361,65 221,00 211,00
85 430,34 0,00 0,00 121,00 213,00
86 430,34 430,34 360,94 219,00 214,00
87 430,34 0,00 0,00 119,00 216,00
88 430,34 430,34 360,22 217,00 217,00
89 430,34 0,00 0,00 117,00 219,00
90 430,34 0,00 0,00 215,00 217,00
91 430,34 430,34 359,09 313,00 218,00
92 430,34 0,00 0,00 213,00 220,00
93 430,34 430,34 358,40 311,00 221,00
94 430,34 0,00 0,00 211,00 223,00
95 430,34 430,34 357,73 309,00 224,00
96 430,34 0,00 0,00 209,00 226,00
97 430,34 430,34 357,03 307,00 227,00
98 430,34 0,00 0,00 207,00 229,00
99 430,34 430,34 356,33 305,00 230,00
100 430,34 0,00 0,00 205,00 232,00
101 430,34 430,34 355,63 303,00 233,00
102 430,34 0,00 0,00 203,00 235,00
103 430,34 430,34 354,98 301,00 236,00
104 430,34 0,00 0,00 201,00 238,00
105 430,34 430,34 354,32 299,00 239,00
106 430,34 0,00 0,00 199,00 241,00
107 430,34 430,34 353,71 297,00 242,00
108 430,34 0,00 0,00 197,00 244,00
109 430,34 430,34 353,00 295,00 245,00
110 430,34 0,00 0,00 195,00 247,00
111 430,34 430,34 352,36 293,00 248,00
112 430,34 0,00 0,00 193,00 250,00
113 430,34 430,34 351,72 291,00 251,00
